Date,Country,User Name,Score,Title,Review Text,Version,Helpful Count
"2025-07-21T17:54:00-07:00","us","eggfatlatte","3","App worked fine until the last release update","There is much to be desired for the app but the last update made the app unusable. After each session the mendi icon shows up and gets stuck there. Only way to get pass this screen is to close the app and restart it. I see other people are experiencing the same behavior. Seems like this got passed QA somehow. Not terribly impressed with the app. Please fix this ASAP or I’ll have to move on to alternatives.","3.1.9",""
"2025-07-18T11:25:43-07:00","us","Sherwani2020","4","Glitch in the app","This might be a mistake from my end as I am new to mendi and still don’t know how exactly it works, but every time when my session ends the mandi logo stays on the screen (more than a minute based on my experience) and in order to go back to the main page, I have to close the app and re-open.
Please fix this as it might affect it’s functionality.","3.1.9",""
"2025-07-17T06:03:41-07:00","at","Johann Bieler","3","Nice app but many crashes","Frequently crashes right before the end of the session. Please fix this urgently","3.1.9",""
"2025-07-13T05:07:44-07:00","nl","Ștefan Steve","5","Suggestion : )","I’d be really happy if I could buy new audio, background visuals, skins, and other types of content — and I’d also love to have a new kind of attention game.    
The update is great . Thank you !  : )","3.1.9",""
"2025-07-09T17:36:49-07:00","us","Dr.d man","4","Improving","After several months I have noticed that I am much less reactive.  I wish there were more tools to understand/interpret scores.  Maybe a graph.","3.1.6",""
"2025-07-07T16:27:07-07:00","us","Wild Moonflower","1","Not pleased","I was a very dedicated user- just shy of 600 days in a row and the app changed a bunch of features, the device stopped working, and many glitches. While the history of my sessions saved, the daily number did not so 600 sessions became zero overnight.","3.1.6",""
"2025-07-07T08:55:32-07:00","gb","Huggis","3","Needs iPad Support","Whilst I like using my Mendi I would much prefer to be sat at a table using an iPad rather than having to hold my iPhone. Hopefully this can happen soon.","3.1.6",""
"2025-07-03T23:15:59-07:00","pl","MateuszXYZ","1","Buggy for weeks now","The app with an update several weeks ago introduced few bugs. For instance the session summary screen does not load - hangs on the spinner. Please fix otherwise good app.","3.1.6",""
"2025-06-30T03:32:53-07:00","gb","Mrs Spanner","3","Great when it works","Since the latest update the app freezes at the end of training, which makes me have to force close it. This means my session doesn’t get registered, which is annoying.  I keep having to delete and reinstall the app.  Also, could we have the “how are you feeling today?” emotions in alphabetical order? Thanks.","3.1.6",""
"2025-06-27T23:29:17-07:00","us","Ghhjkfcxdg","4","Multiple bugs but functional game","Mendi is very promising. The game works well. However many bugs - the Mendi icon spins eternally after finishing a training session and no longer writes to mindful minutes on iOS despite permissions being enabled.

Other areas like after a breathing session the text “breathing animation. well done” exposed instead of an animation

While the training session is good I’d really like new experiences that leverages the headset.","3.1.5",""
"2025-06-23T10:40:04-07:00","us","BoyWithUke Official","5","rlly good and it helped me a lot","im being ded serious","2.2.3",""
"2025-06-16T09:46:44-07:00","us","AscendTM02","5","This is the product of you need help with focus","Easy to use. Just use it everyday. Amazing.","3.1.2",""
"2025-06-12T09:27:18-07:00","us","LMR D","5","Happy","The Mendi adds to a healthy morning routine and as the days go on I appreciate the fact that I rate the way I feel and give a brief description about my moods. The training is making more sense each time.","3.1.2",""
"2025-06-10T06:47:29-07:00","us","uelemd svsh","5","Mendi Review","I’m convinced this is one of the best devices on the market. Giving my 2 cents.","3.1.2",""
"2025-06-08T18:17:25-07:00","us","P.J. Smith","5","Life changing","Could this be the device I’ve been waiting for my entire life to help me with ADD? After 2 1/2 -3 weeks, I’ve seen phenomenal progress. It almost feels like my brain is starting to operate the way God created it instead of under the influence of the inability to focus, stay engaged with tasks, and finish assignments. At this point, I would give it six stars if possible.","3.1.1",""
"2025-06-04T08:13:09-07:00","us","Wiredwelder","5","Helped my sleep a ton and anxiety is low","I can’t say enough good things about it. My anxiety is lower. I’m sleeping better. I’m healing better and I’m happier. I’m not having near the manic depression cycle. Highly recommend.!😁","3.1.1",""
"2025-06-01T12:52:33-07:00","us","Ben Davidson","5","MENDI is one of my favorite tools","As part of a project I am working to evaluate and assess the ability of wearable devices to achieve brain changes, I find MENDI one of the easiest to use and relaxation, sleep, and focus are improved.  After two month of daily use I now recommend MENDI to others.  Excellent product and app.","3.1.1",""
"2025-05-30T05:29:45-07:00","id","grabe jhones","5","Amazing 😻","This app is the best app to learn our brain focus, planning etc. It helps me so much to stay focus and relax, i learn new things by reading 📖 at mendi and start training. When i have time, i ask my family to try it and they love it 🥰 thank you so much mendi 🍓🌞","2.2.3",""
"2025-05-29T21:38:47-07:00","tr","Poyraz mert","5","Çok güzel","Çok güzel","3.1.1",""
"2025-05-26T08:50:24-07:00","us","Richard I AZ","5","Helps my sleep tremendously","I just received the Mendi and have used it each of the first four days.  Each day I have improved not only my Mendi scores, but also my Sleep scores from my Oura ring app - which I love as well.  Also, for anyone interested: my wife and I also receive great benefits from our Apollo Neuro combined with Oura app.  Mendi is absolutely Awesome!!!!  Great investment in your brain’s health!!!!","3.0.1",""
"2025-05-22T03:03:56-07:00","us","Chirocarpenter","5","Useful, reliable","Easy to use, helpful insights.","3.0.1",""
"2025-05-17T07:24:05-07:00","us","Martin Gerard","5","MARTIN G JEDI","It brings balance to my force.","3.0.0",""
"2025-05-17T03:44:58-07:00","us","Tim Boykin","5","Life changing","I have never been more clear headed. This is the best tool I have found for improving focus and overall mental wellness.","3.0.0",""
"2025-05-17T02:01:12-07:00","se","Kyliga föraren","5","Amazing product","I really works! and I clearly feel that somerhing is happening with my brain. This product will be so helpful for so many people across the world struggeling with mental issues, or just want to improve their mental performance","3.0.0",""
"2025-05-15T12:06:35-07:00","us","Deetaken","5","Great tech","This is the tech that gets it done. 10 min of focus training…. Wow","3.0.0",""
"2025-05-15T06:00:22-07:00","th","Keskeseksa","5","Mendi is still the best","I have been using Mendi since I received it from a startup about three years ago. Mendi is a significant factor for my well being.","3.0.0",""
"2025-05-07T04:22:02-07:00","us","Heels589","5","Mendi","I do brain training for 15 minutes every morning. I can see great improvements in my cognitive ability.","3.0.0",""
"2025-04-28T11:50:19-07:00","us","Goose0987","5","Very helpful","This has helped me stay focused at work.  Days go better when I use this.  Once you do it consistently for a while it is amazing how it helps.","3.0.0",""
"2025-04-27T10:35:46-07:00","us","AgentM3","5","Workout for my Brain","The device is super simple to use and It’s comfortable when snug on your forehead. The “game” is interesting because it’s a cool visual representation of my ability to focus. Another way to put it is that it’s a visual representation of your brains activity when attempting to focus on a task or a visual representation of the brain during meditation. I really like the feedback and the ability to compare past sessions to current. It took about a week or so before I really started noticing small improvements in focus and I do mean small subtle but effective improvements. With patience and consistency I feel strongly that this device will really help with my focus, anxiety, stress and sleep. It’s going to take time and I won’t develop some cool super powers but I am finally able to train my brain and see/feel the improvements.","3.0.0",""
"2025-04-24T05:05:22-07:00","us","Ground zero follower","5","Seems to be working… I need to do more","The app is good for daily reminders. I don’t always follow them. I seem to have better focus when I use the app. I need to be consistent to provide a better review.","3.0.0",""
"2025-04-22T22:10:22-07:00","us","Bsawma","5","Anxiety help","This really helps get you started on the journey of breath work. It is an amazing tool to use to help people remember to breathe and focus on their breath.","3.0.0",""
"2025-04-22T06:32:38-07:00","us","The Col.","5","Better Brain","I’ve been using it for only a few weeks but I feel the difference in my concentration and mental  clarity.

Make It a GREAT Day!
The Col.™️","3.0.0",""
"2025-04-22T04:23:52-07:00","us","rice cake girl","4","It works","I look forward to every session.  I would like more companion meditation content.","3.0.0",""
"2025-04-19T04:36:48-07:00","us","Nataly Noriega","5","Mendi","Recommending Mendi since I ordered it I haven't stopped using it every day, I noticed results after a week","3.0.0",""
"2025-04-19T00:07:50-07:00","se","MsDulj","5","Game changer","Really great device, game changer when it comes to brain training and mental health. The app is continuously improving and new features are being added.","3.0.0",""
"2025-04-17T22:32:01-07:00","us","cfalter","5","Exciting changes in my life","I’ve been using this for three months now. I’ve noticed my house is cleaner, I get dishes done, working out more, and I’ve stopped binge eating. Beyond grateful for the founders. This product works!!","3.0.0",""
"2025-04-10T18:28:38-07:00","us","aliNYSF","4","Great ! Need to add a profile","Me and my kid really liked it, but we couldn’t figure out how to add a profile for my son. It was really fun to watch an 8 1/2 year-old use his brain to control the shape","2.4.9",""
"2025-04-10T02:42:41-07:00","us","Williston North Dakota oil boom!!","5","Improvement","I’ve been using Mendi off and on for the past 6 1/2 months now. As long as I can stay consistent I truly feel like it is helping I’m not sure. I fully understand it yet, but I know my day-to-day activities, demeanor attitude, buisness and overall well-being has improved.
I’m excited to see what the next six months look like.","2.4.9",""
"2025-04-06T20:56:16-07:00","us","Crsmalley","5","Very helpful!!!","I see more and more little improvements in myself the longer I use it. Like, I am more willing to get things done that I dislike doing around the house or with my budget. I am becoming more focused at work. I notice I am getting better at not being triggered at some things and I am recovering quicker at the things that do still get me. I have been using it for about a month now. The other day I was hit with hard information and I was actually able to say, I am done worrying about this tonight and chose to go to sleep and actually slept without my mind racing all night or preventing me from going to sleep. That was huge. I also am noticing more when I am being critical towards other. Like it is bringing awareness to me so I can change it. I think it will also help me change it the more I use it. I catch myself breathing more through stressful moments helping them be less stressful. This thing is a miracle that come in a box. It is so easy to use and I have my whole family using it. Thank you mendi!! I have done neurofeedback before to help with a head injury. I am so grateful for the price of this vs that, and the convenience of having it be in the home or wherever I want to do it. Thank you thank you thank you! Using this device is literally helping my marriage get better!! Bit by bit as we both use it. Those reading this, you have to give it the time and consistency but it is such an easy thing to do. I do miss a day or two a week and still get amazing results so you dont have to be perfect but it is sooo worth the little effort it takes to do it!","2.4.9",""
"2025-04-03T20:17:54-07:00","us","Stgenv","5","Thank you","Thank you this has been helping me focus more in school and my mental heath, also after when I go to sleep I’m able to get better sleep and thank you I love Mendi -josue","2.4.9",""
"2025-04-03T19:02:10-07:00","us","Saifzy","5","Mendi","Mendi","2.4.9",""
"2025-04-01T04:55:38-07:00","us","Amanda KZJ","5","Game changer","Love this. Used it at the recommendation of a psychologist I worked with when discussing my struggles with medications and was able to totally get off of meds because of Mendi. Highly recommend.","2.4.9",""
"2025-03-29T21:17:16-07:00","us","MariaEnlightened","5","Believe in it.","A powerful tool and resource to have.   I can feel the shuttle changes in me with my focus and overall positive energy after using Mendi.  Highly recommend it.","2.4.9",""
"2025-03-29T11:20:51-07:00","us","Tina K11","4","This works","But the app could use some minor improvements. The overall activity snapshot at the end could have neural activity numbers going up the side of the graph making it more accurate for showing how a session actually looked for brain activity. That way those graphs would show something more real. A graph that only shows time along the bottom and nothing going up the side is not a reflection of the actual data. Also if the Mendi app could show battery life of the headband that would greatly improve frustration when the headband lights up as if it should work but the app doesn't connect.  I have also had to turn off my phone to reset the app which gets glitchy from time to time.  Lastly the performance, commitment, and activity circles on the top what are they actually showing? I understand commitment but the other two are vague in what they are relating to.   Otherwise I love the Mendi and will continue to use it as it is helping me understand what affects my mental cognition ❣️","2.4.9",""
"2025-03-20T09:01:14-07:00","us","Tmoooney","3","Like it but needs to update and useable","I like the concept and it the reading but I want to get the data from my brain when doing meditations or watching certain videos that are uplifting.  When you use this only allows your audio to come from this app and that limits the ability of this app to read your brain activity whilst engaging in a variety of mind enhancing modalities.  I hope they are able to update and enhance its usability.","2.4.9",""
"2025-03-13T04:46:25-07:00","ca","Annabelle Gauthier","5","I rarely rate any apps","Mendi is absolutely fantastic. Since I started using it, I feel I’m managing my emotions on a whole new level. I no longer have any cravings, and it’s genuinely improving my quality of life.","2.4.9",""
"2025-03-11T01:32:13-07:00","us","FarewellToSnapChat","5","Changed my life","Life changing","2.4.9",""
"2025-03-10T21:56:51-07:00","us","Rory Eldridge","5","Amazing","Amazing just Amazing this is a must get item","2.4.9",""
"2025-03-09T23:39:55-07:00","se","MostMajors","5","Great tool!","I find it very helpful for training on keeping focus and meditation but I would to be able to hide progress during the session to be able to only focus on the movement of the ball.","2.4.9",""
"2025-03-09T19:58:35-07:00","us","Wah ooh rah Amon re poo sue","5","Mendi more like mend my brain into the right place","5star big big big 5 star ms sue and  new boo sue recommend as well Ty","2.4.9",""
"2025-03-09T17:12:50-07:00","us","Mayratheestalli","5","Loves it","Feels like meditation","2.4.9",""
"2025-03-06T22:08:20-07:00","us","Okeydokeyartichokey1!","5","Best app EVER","This app is #1","2.4.9",""
"2025-03-02T17:25:52-07:00","us","Buff393","5","Life transforming","I have been suffering from trauma for a while and this has been life changing!","2.4.9",""
"2025-03-02T10:15:07-07:00","us","dhnmac","5","Goals","This is a device that’s been helping me achieve goals and rewards beyond any subjective expectation. It’s achievable by any means possible. Thank you for this breakthrough for myself!","2.4.9",""
"2025-02-28T07:29:24-07:00","us","Lodestar-0","5","Wish there were additional features","The device is great and I have noticed my focus is improving. I wish there were a focus monitoring feature so I can wear the mendi while I'm working and monitor my focus levels throughout the day. Maybe there are other ways to use the device outside of training?","2.4.9",""
"2025-02-19T18:23:31-07:00","us","ConradIII","5","better than i expected","i used this app for the first time today and i think it is very good. good info, good design and easy to use. the only thing negative was that it took me a bit to figure out how to connect the headset to my phone with bluetooth. be sure to ""allow"" the app to use your bluetooth in the settings of your phone. it seems obvious but i have many bluetooth devices and i don't think i ever had to do that. if i did, the app told me i had to and this one did not.","2.4.9",""
"2025-02-19T09:41:59-07:00","us","Micarona","5","Firefighter/Medic","I’m a medically retired firefighter/medic with diagnosed ADHD, PTSD, general anxiety, and depression.  I underwent treatments including EMDR, hypnotherapy, CBT, and DBT.  I was prescribed alpha stimulation to help manage nightmares, irrational fears, suicidal ideations, and sleep deprivation (essentially shock therapy).  I have learned that meditation and exercise historically helped me the most.  Then Mendi came screaming across feed. I bought in because of a rudimentary familiarity with brain function in a PTSD brain (with skepticism). 

Ultimately, I love this tool and am finding myself meditating with it more than without it.  I love seeing how my sessions are monitored.  I also feel more relaxed after my sessions.  I had my 10th session over the last two weeks today and I can visualize how my focus is improving.

I can’t confirm Mendi is responsible for helping me quit chewing, but my curbed desire for alcohol and nicotine appear to have a correlation with the use of Mendi. I am far less interested in stimulants than I have been in a long time.  

I am recommending this tool for further investigation from my union to aid in first responder mental health training and treatments.","2.4.9",""
"2025-02-13T22:41:12-07:00","gb","NiccoloPr","5","Life changer","This neuro feedback tool has definitely changed my life. The best way to put it is: between a stimulus and a response there’s a gap. Mendi helps you creating and staying in that gap, so that you can take more conscious decisions. 
A quick example: I had been biting my nails for basically all my life. Then I started training with Mendi. I know recognise the triggers and completely stopped biting my nails. I still bring my fingers close to my mouth at times, but then I’m in that gap and I take the conscious decision to don’t do it.

It’d be nice to see if the guys at mendi can create some new games to play with the headband.","2.4.9",""
"2025-02-09T07:04:57-07:00","us","hgerm","4","At 20 days","So in the 20 days I’ve noticed some better focus at work. I’m able to stay on one project longer without feeling the need to jump to another. I’m remembering more of my dreams after waking up too.  Looking forward to some more progress to give a five star.","2.4.9",""
"2025-02-09T01:39:54-07:00","us","geekglasses","5","Feel better, calm, clarity","Exceptional device. Mendi has helped me feel better, experience a comfortable calm, and sleep better. Mendi has helped me experience my thoughts in what I can only describe as a more manageable rather than hectic way. I can’t explain it, it’s like it’s easier to think and I don’t need as much energy to think. I love the breath work before each session because it helps me focus and prepare for my session so that I’m present and participating. It’s a comfortable device, easy to set up. I’m super curious to see how I do over a longer period of time and look forward to improving my brain health.","2.4.9",""
"2025-02-08T23:10:21-07:00","se","Oscar0704","5","My favourite app","Extremely helpful product and a great structured app","2.4.9",""
"2025-02-06T09:09:04-07:00","us","Fishrangeley","5","been using it for about 4 years now.","Great device and my middle prefrontal cortex seems to being fine so far.

Great way for an almost 80 year old to check mental activity. Great App and I have","2.4.9",""
"2025-01-30T18:11:04-07:00","us","Orionbellatrix","5","Loving it","I am absolutely loving using the app and the gadget.","2.4.8",""
"2025-01-26T11:51:54-07:00","ca","BlackDoom1","5","Great workout for focus and reduced anxiety","I find it helpful to make focus on every day task and not little anxiety triggers. I have szchizophrenia and bipolar and I can get caught up in my symptoms even within the past week of training I find it that I can focus more on every day stuff and less on my illness","2.4.8",""
"2025-01-22T19:44:40-07:00","ca","Haywire450","5","Works well","Makes you feel better","2.4.8",""
"2025-01-17T10:26:20-07:00","us","M0E07.","5","Great tool, highly recommended","Noticeable difference within the first week, it doesn’t leave my side anymore.","2.4.8",""
"2025-01-15T14:45:50-07:00","au","Chip_985","4","A better way to meditate","Far more enjoyable than sitting around thinking about your breath.","2.4.8",""
"2025-01-12T07:24:45-07:00","us","Probly steve","3","Just started, but I wish there were more info.","I have only just begun using Mendi, so I can’t speak to results yet. I find the app, informative, and interesting. However, I wish there were more information about the scores. The explanation on the website is filled with vague hedges. Basically, it says your score doesn’t matter as much as your improvement. But it doesn’t even quantify what a good improvement would be. While I understand a “good” score might vary widely depending on age and preexisting health conditions (adhd, depression,… etc),  and lifestyle (exercise, diet, substance use/abuse, etc.), it would be great if they could present us with some averages and means( baselines based on age and categories people self identify they are trying to improve). They must have a significant amount of data at this point, and the fact that they are not willing to share this data does not instill me with confidence.","2.4.8",""
"2025-01-12T05:33:15-07:00","us","Wah1969","5","Peaceful Concentration!!","I am just 10 days in and am experiencing a better mindset. Looking forward to my 30 day experience. Well worth the investment!","2.4.8",""
"2025-01-05T15:39:18-07:00","us","ezstork","5","Excellent brain training app.","Only neurofeedback device to legitimately claim to improve blood flow to the prefrontal cortex through scientific method’s proven with studies done around the world. 
I am a retired physician with long COVID 19 and long Vax complications. 
I have seen tremendous value in how my brain functions after I use the Mendi. (Sorry for the length of this. It was too important to not provide the details that may help others. )","2.4.8",""
"2025-01-02T06:19:52-07:00","us","Micheal franchesco","5","Good training every single morning","Mendi is great so far","2.4.7",""
"2025-01-01T07:23:21-07:00","us","Lovingtheexperience","5","Winnerminds","Beautiful and life changing. 💕","2.4.7",""
"2024-12-30T02:58:06-07:00","it","Luca12359988","5","Utile","Utilizzando il dispositico e l’ app ho notato un netto miglioramento nella mia concentrazione. Consigliato.","2.4.7",""
"2024-12-29T03:39:42-07:00","us","Ade martin","5","Absolutely worth it!","My anxiety/stress level decreased significantly! Anti stressful device! Great for meditation!","2.4.7",""
"2024-12-28T11:32:40-07:00","ca","ArnieSpeaks","5","Really works","The app is easy to use and helps me to improve my focus and state of calm. It is not cluttered with useless information and options. I look forward to a productive and satisfying future with the Mendi app.","2.4.7",""
"2024-12-18T13:40:18-07:00","us","Boss Man 12345678987654321","5","5 Stars!! Helped me on my SAT!!","Great product, would highly recommend for people who want to focus more!","2.4.7",""
"2024-12-10T01:27:36-07:00","us","Solid Contact","5","I love Mendi!","I have had Mendi for more than 2 years now. Currently I’m on a 41 day streak. My mood, well-being, productivity, and many other aspects are better because of using Mendi. I notice little things all the time that are without a doubt improvements. Everything is better, sometimes a little, sometimes a lot better. I love to play golf. Doing a 10 minute Mendi session before golfing produces a mental focus that maintains itself throughout my entire round, which I love. I can’t say enough good things about Mendi.","2.4.5",""
"2024-12-07T14:39:15-07:00","ca","Kidtazi","5","Surprising Results","In the summer of 2023, I suffered a concussion. I had severe vertigo, headaches, limited mental bandwidth and my emotional regulation, which had been above average, deteriorated to almost non-existent within weeks. I realized I needed to take action to aid my recovery.

After extensive research, I decided Mendi was the most suitable brain training device for my rehab. I purchased the device about 9-10 months after the injury, just before this last summer.

Although I haven’t been as disciplined as I’d like, my scores have improved, and my ability to focus has increased significantly. Not only has Mendi helped me return to baseline, but it has also enhanced my emotional regulation beyond what it was before the concussion.

I can quantify this improvement because I used to experience significant fear while rock climbing outdoors—a reasonable physiological response. This past summer, while I did feel some fear, it was about 20% as intense. Even in the most extreme situations, I was able to dial it back and recompose myself. In many cases, I felt no fear at all, which was a completely new experience for me since I started climbing.

I’m surprised this app doesn’t have more reviews. Mendi is a game changer. I’m incredibly grateful for this product and would love to see more gamification features to encourage consistent training.","2.4.5",""
"2024-12-06T13:06:55-07:00","us","Ima is here","5","The best ! Thank you for helping me be my best self.","Best self. This device is amazing !","2.4.5",""
"2024-11-25T15:02:05-07:00","us","Denildo!!","5","Amazing tool for improving focus and memory!","I’ve been using Mendi to train my memory, and it has exceeded my expectations. The app combines science and usability to help me improve my mental performance. I love how engaging and easy-to-use it is, making each session enjoyable. It’s not just an app; it’s a tool for personal growth. Highly recommend it to anyone looking to enhance their focus, memory, and mental health!","2.4.5",""
"2024-11-23T05:19:09-07:00","us","StuTheRabbit!!!","5","Focus training","I am 75 years old and like to keep my mind healthy and active. 
This seems to be very worthwhile for me. Good brain focus training and interesting enough to make a 10 minute per day habit.","2.4.5",""
"2024-11-21T03:21:25-07:00","us","KapJohn","5","Love","Love this app! This is exactly what I needed to help me focus, reduce impulsivity and become more productive.","2.4.5",""
"2024-11-20T23:11:17-07:00","us","Nick ""name""","5","It works faster than they say!","I’ve (31M) used this twice a day since buying it, and already notice I’ve got better focus, and I’m a lot more calm. 

Can’t wait to see what I’ll be like in a few more weeks!","2.4.5",""
"2024-11-20T20:19:34-07:00","us","DCtennis","5","Love it!","Been using Mendi twice a day and you can see every day my concentration gets better.
Focus gets better also.
I am really enjoying it.","2.4.5",""
"2024-11-17T10:28:11-07:00","us","Timmyfranks","3","Super cool but needs basic features","Super cool and love the device. The app needs basic support. Namely it needs both iPad support and Multiple profiles on a single device. Guest mode is ok but doesn’t help.","2.4.5",""
"2024-11-08T17:11:12-07:00","us","mis7702","5","It’s good so far","It’s interesting. I didn’t know for the first couple times how to control the ball but I think I’m starting to understand how to control the ball little bit now. Either way it’s pretty interesting to find out how your brain works through this device.","2.4.2",""
"2024-11-01T17:05:45-07:00","us","yaddiddabooboo","5","Wanted this ever since I was a kid","The instant Neuro feedback is incredible even though it’s just oxygen intake in the prefrontal cortex it’s fascinating to be able to train my perspective and attention","2.4.2",""
"2024-10-31T22:19:52-07:00","us","birds are super cooool","5","Helped stress and sleep","I was really stressed until I started using Mendi and the night I started slept like a baby. Would recommend it to anyone. 👍","2.4.2",""
"2024-10-31T03:04:02-07:00","us","unicomp21","5","Try it!","Olympic gym for the relaxation response to life?","2.4.2",""
"2024-10-27T23:10:31-07:00","se","Skell in town","5","Intuitive and ease of use","Nice layout","2.4.2",""
"2024-10-27T14:06:05-07:00","us","882 rockinway","5","Pleased","I do Mendi everyday. I have easier focus and get into flow states for longer periods.","2.4.2",""
"2024-10-26T22:09:14-07:00","nl","Neurocentric","5","Well made","The app is super well designed. The game feels motivating and relaxing at the same time. Pairing the device is also easy.","2.4.2",""
"2024-10-21T22:59:08-07:00","us","TJ Member","2","Glitchy","The date of birth scroll makes you start at year 1.   After scrolling for 2000 years, it won’t let you save your DOB.   App is pretty glitchy and the flow of info isn’t intuitive.  Hopefully it will improve.","2.4.0",""
